TrainNo,TrainName,TrainNumber,trainName,
,,'12350',NDLS BGP EXPRES,
,,'12351',DANAPUR EXPRESS,
,,'12352',DANAPUR HWH EXP,
,,'12353',HWH LKU EXP    ,
,,'12354',LKU HWH EXP    ,
,,'12355',ARCHNA EXPRESS ,
,,'12356',ARCHANA EXPRESS,
,,'12357',DURGIANA EXP   ,
,,'12358',ASR KOAA SUP EX,
,,'12359',PNBE GARIB RATH,
,,'12360',KOL GARIB RATH ,
,,'12361',ASN CSTM EXPRES,
,,'12362',CSTM ASANSOL EX,
,,'12363',KOAA HDB SUPF E,
,,'12364',HDB KOAA SF EXP,
,,'12365',RNC JANSHATABDI,
,,'12366',PNBE JANSHATABD,
,,'12367',VIKRAMSHILA EXP,
,,'12368',VIKRAMSHILA EXP,
,,'12369',KUMBHA EXPRESS ,
,,'12370',HW HWH S F EXP ,
,,'12371',HWH JSM EXP    ,
,,'12372',JSM HWH SF EXP ,
,,'12373',SDAH RPH INTRCT,
,,'12374',RPH SDAH INTRCT,
,,'12375',MAS ASN EXPRESS,
,,'12376',ASN MAS EXPRESS,
,,'12377',PADATIK EXPRESS,
,,'12378',PADATIK EXPRESS,
,,'12379',JALIANWALAB EXP,
,,'12380',JALIANWALA B EX,
,,'12381',POORVA EXPRESS ,
,,'12382',POORVA EXPRESS ,
,,'12383',INTERCITY  EXP ,
,,'12384',INTERCITY  EXP ,
,,'12389',GAYA MS EXPRESS,
,,'12390',MS GAYA EXPRESS,
,,'12391',SHRAMJEEVI EXP ,
,,'12392',SHRAMJEVI N EXP,
,,'12393',S KRANTI SUP EX,
,,'12394',SAMPOORN K EXP ,
,,'12395',ZIYARAT EXPRESS,
,,'12396',ZIYARAT EXPRESS,
,,'12397',MAHABODHI EXP  ,
,,'12398',MAHABODHI EXP  ,
,,'12401',MAGADH EXPRESS ,
,,'12402',MAGADH EXPRESS ,
,,'12403',ALD JP EXPRESS ,
,,'12404',JP  ALD EXPRESS,
,,'12405',GONDWANA EXPRES,
,,'12406',GONDWANA EXPRES,
,,'12409',GONDWANA EXPRES,
,,'12410',GONDWANA EXPRES,
,,'12411',INTERCITY EXP  ,
,,'12412',INTERCITY EXP  ,
,,'12413',AII JAT EXPRESS,
,,'12414',JAMMU AII EXP  ,
,,'12415',NIZAMUDDIN EXP ,
,,'12416',INTERCITY  EXP ,
,,'12417',PRAYAG RAJ EXP ,
,,'12418',PRAYAG RAJ EXP ,
,,'12419',GOMTI EXP      ,
,,'12420',GOMTI EXPRESS  ,
,,'12421',NED ASR SUP EXP,
,,'12422',ASR NED SF EXP ,
,,'12423',DBRT RAJDHANI E,
,,'12424',DBRT RAJDHANI  ,
,,'12425',JAMMU RAJDHANI ,
,,'12426',JAMMU RAJDHANI ,
,,'12427',REWA ANVT EXP  ,
,,'12428',ANVT REWA EXP  ,
,,'12429',LKO NDLS AC SF ,
,,'12430',NDLS LKO AC SF ,
,,'12431',RAJDHANI EXP   ,
,,'12432',TRIVNDRM RJDHNI,
,,'12433',RAJDHANI EXP   ,
,,'12434',CHENNAI RAJDHNI,
,,'12435',DBRT RAJDHANI E,
,,'12436',NDLS DBRT RJDHN,
,,'12437',RAJDHANI EXP   ,
,,'12438',NZM SC RJDHNI  ,
,,'12439',RNC NDLS RAJ EX,
,,'12440',NDLS RNC RAJ EX,
,,'12441',BSP NDLS RAJ EX,
,,'12442',BILASPUR RJDHNI,
,,'12443',HLZ ANVT WKLY S,
,,'12444',ANVT HLZ S F EX,
,,'12445',UTTAR S KRANTI ,
,,'12446',UTTAR S KRANTI ,
,,'12447',U P SMPRK KRNTI,
,,'12448',U P SMPRK KRNTI,
,,'12449',GOA SMPRK K EXP,
,,'12450',GOA SMPRK K EXP,
,,'12451',SHRAM SHKTI EXP,
,,'12452',SHRAM SHKTI EXP,
,,'12453',RNC NDLS RAJ EX,
,,'12454',NDLS RNC RJDHNI,
,,'12455',DEE BKN SF EXP ,
,,'12456',BKN DEE SF EXP ,
,,'12457',DEE BKN  S F EX,
,,'12458',BKN DEE S F EXP,
,,'12459',NDLSASR EXPRESS,
,,'12460',ASR NDLS EXP   ,
,,'12461',MANDOR EXPRESS ,
,,'12462',MANDOR EXPRESS ,
,,'12463',RAJSTHN S KRANT,
,,'12464',RJSTHN S KRNTI ,
,,'12465',RANTHAMBORE EXP,
,,'12466',INTERCITY EXP  ,
,,'12467',LEELAN EXP     ,
,,'12468',LEELAN EXP     ,
,,'12469',CNB JAT EXPRESS,
,,'12470',JAT CNB EXPRESS,
,,'12471',SWARAJ EXPRESS ,
,,'12472',SWARAJ EXPRESS ,
,,'12473',SARVODAYA EXP  ,
,,'12474',SARVODAYA EXP  ,
,,'12475',HAPA JAT EXPRES,
,,'12476',JAT HAPA EXP   ,
,,'12477',JAM JAT EXPRESS,
,,'12478',JAT JAMNAGR EXP,
,,'12479',SURYA NAGRI EXP,
,,'12480',SURYANAGARI EXP,
,,'12481',INTERCITY EXP  ,
,,'12482',INTERCITY EXP  ,
,,'12483',AMRITSAR EXP   ,
,,'12484',ASR KCVL EXPRES,
,,'12485',NED SGNR EXPRES,
,,'12486',SGNR NED EXPRES,
,,'12487',SEEMANCHAL EXP ,
,,'12488',SEEMANCHAL EXP ,
,,'12489',BKN DDR SF EXP ,
,,'12490',DDR BIKANER EXP,
,,'12491',MOUR DHWAJ EXP ,
,,'12492',MAUR DHAWAJ EXP,
,,'12495',BKN KOAA SUP EX,
,,'12496',PRATAP EXPRESS ,
,,'12497',SHANE PUNJAB   ,
,,'12498',SHANE PUNJAB   ,
,,'12501',PORVOTR S KRNTI,
,,'12502',PORVOTR S KRNTI,
,,'12505',NORTH EAST EXP ,
,,'12506',NORTH EAST EXP ,
,,'12507',GUWAHATI EXP   ,
,,'12508',GHY TVC EXPRESS,
,,'12509',GUWAHATI EXP   ,
,,'12510',GHY SBC EXPRESS,
,,'12511',RAPTI SAGAR EXP,
,,'12512',RAPTISAGAR EXP ,
,,'12513',SC GHY EXP     ,
,,'12514',GHY SC EXPRESS ,
,,'12515',GUWAHATI EXP   ,
,,'12516',GHY TVC EXPRESS,
,,'12517',GHY GARIB RATH ,
,,'12518',KOL GARIB RATH ,
,,'12519',LTT KYQ AC EXP ,
,,'12520',KYQ LTT AC EXP ,
,,'12521',RAPTI SAGAR EXP,
,,'12522',RAPTISAGAR EXP ,
,,'12523',NJP NDLS EXPRES,
,,'12524',NDLS NJP SF EXP,
,,'12525',KOAA DBRG EXP  ,
,,'12526',DBRG KOAA EXP  ,
,,'12531',LJN INTERCITY  ,
,,'12532',GKP INTERCITY  ,
,,'12533',,PUSHPAK EXP    
,,'12534',PUSHPAK EXPRESS,
,,'12535',LJN R GARIBRATH,
,,'12536',LJN GARIBRATH  ,
,,'12537',MANDUADIH EXP  ,
,,'12538',MUV MFP EXPRESS,
,,'12539',YPR LUCKNOW EXP,
,,'12540',LKO YPR SUP EXP,
,,'12541',GKP LTT SUP EXP,
,,'12542',LTT GKP SUP EXP,
,,'12543',TIRUPATHI EXP  ,
,,'12547',AF ADI SF EXP  ,
,,'12548',AGRA SUPER FAST,
,,'12549',DURG JAT SF EXP,
,,'12550',JAT DURG SF EXP,
,,'12551',YPRKYQ AC EXP  ,
,,'12552',KYQ YPR AC EXP ,
,,'12553',VAISHALI EXP   ,
,,'12554',VAISHALI EXP   ,
,,'12555',GORAKDAM EXPRES,
,,'12556',GORAKDAM EXPRES,
,,'12557',SAPT KRANTI EXP,
,,'12558',SAPT KRANTI EXP,
,,'12559',SHIV GANGA EXP ,
,,'12560',SHIV GANGA EXP ,
,,'12561',SWATANTRA S EXP,
,,'12562',SWATANTRTA S EX,
,,'12565',BIHAR S KRANTI ,
,,'12566',BIHAR S KRANTI ,
,,'12567',RAJYA RANI EXP ,
,,'12568',RAJYA RANI EXP ,
,,'12569',JYG ANVT G RATH,
,,'12570',JYG GARIB RATH ,
,,'12577',BAGMATI EXPRESS,
,,'12578',BAGMATI EXPRESS,
,,'12581',MUV NDLS S F EX,
,,'12582',NDLS MUV SF EXP,
,,'12583',ANVT DOUBLE DKR,
,,'12584',LJN DOUBLE DKR ,
,,'12587',AMAR NATH EXP  ,
,,'12588',JAMMU GKP EXP  ,
,,'12589',GKP SC EXPRESS ,
,,'12590',GORAKHPUR EXP  ,
,,'12591',GKP YPR EXPRESS,
,,'12592',GORAKHPUR EXP  ,
,,'12593',LJN BPL G R    ,
,,'12594',LJN GARIB RATH ,
,,'12601',MANGALORE MAIL ,
,,'12602',CHENNAI MAIL   ,
,,'12603',HYDERABAD EXP  ,
,,'12604',CHENNAI EXP    ,
,,'12605',PALLAVAN EXP   ,
,,'12606',PALLAVAN EXP   ,
,,'12607',LALBAGH EXPRESS,
,,'12608',LALBAGH EXP    ,
,,'12609',BANGALORE EXP  ,
,,'12610',CHENNAI EXPRESS,
,,'12611',NZM GARIB RATH ,
,,'12612',MAS GARIB RATH ,
,,'12613',TIPPU EXPRESS  ,
,,'12614',TIPPU EXPRESS  ,
,,'12615',GRAND TRUNK EXP,
,,'12616',G T EXPRESS    ,
,,'12617',MANGALA LDWEEP ,
,,'12618',MNGLA LKSDP EXP,
,,'12619',MATSYAGANDHA EX,
,,'12620',MATSYAGANDA EXP,
,,'12621',TAMIL NADU EXP ,
,,'12622',TAMIL NADU EXP ,
,,'12623',TRIVANDRUM MAIL,
,,'12624',CHENNAI MAIL   ,
,,'12625',KERALA EXPRESS ,
,,'12626',KERALA EXPRESS ,
,,'12627',KARNATAKA EXP  ,
,,'12628',KARNATAKA EXP  ,
,,'12629',SAMPARK KRANTI ,
,,'12630',YPR S KRNTI EXP,
,,'12631',NELLAI EXPRESS ,
,,'12632',NELLAI EXPRESS ,
,,'12633',KANYAKUMARI EXP,
,,'12634',KANYAKUMARI EXP,
,,'12635',VAIGAI EXP     ,
,,'12636',VAIGAI EXP     ,
,,'12637',PANDIAN EXP    ,
,,'12638',PANDIAN EXP    ,
,,'12639',BRINDAVAN EXP  ,
,,'12640',BRINDAVAN EXP  ,
,,'12641',TIRUKKURAL EXP ,
,,'12642',THIRUKKURAL EXP,
,,'12643',NIZAMUDDIN EXP ,
,,'12644',SWARNA JAYANTI ,
,,'12645',NIZAMUDDIN EXP ,
,,'12646',ERS MILLENUM EX,
,,'12647',KONGU EXPRESS  ,
,,'12648',KONGU EXPRESS  ,
,,'12649',SAMPARK KRANTI ,
,,'12650',KTK SMPRK K EXP,
,,'12651',SAMPARK KRANTI ,
,,'12652',T N SMPRK KRNTI,
,,'12655',NAVJEEVAN EXP  ,
,,'12656',NAVAJIVAN EXP  ,
,,'12657',BANGALORE MAIL ,
,,'12658',CHENNAI MAIL   ,
,,'12659',GURUDEV EXPRESS,
,,'12660',GURUDEV EXPRESS,
,,'12661',POTHIGAI  EXP  ,
,,'12662',POTHIGAI   EXP ,
,,'12663',HWH TPJ EXPRESS,
,,'12664',HOWRAH EXPRESS ,
,,'12665',KANNYAKUMARI EX,
,,'12666',CAPE HOWRAH EXP,
,,'12667',NAGERCOIL EXP  ,
,,'12668',CHENNAI EXP    ,
,,'12669',GANGAKAVERI EXP,
,,'12670',GANGAKAVERI EXP,
,,'12671',NILAGIRI EXP   ,
,,'12672',NILAGIRI EXP   ,
,,'12673',CHERAN EXPRESS ,
,,'12674',CHERAN EXPRESS ,
,,'12675',KOVAI EXPRESS  ,
,,'12676',KOVAI EXP      ,
,,'12677',ERNAKULAM EXP  ,
,,'12678',BANGALORE EXP  ,
,,'12679',COIMBATORE EXP ,
,,'12680',CHENNAI EXPRESS,
,,'12681',COIMBATORE EXP ,
,,'12682',CHENNAI EXP    ,
,,'12683',BANGALORE SF EX,
,,'12684',ERNAKULAM SF EX,
,,'12685',MANGALORE EXP  ,
,,'12686',CHENNAI EXP    ,
,,'12687',DEHRADUN EXP   ,
,,'12688',DDN MDU SF EXP ,
,,'12689',NAGERCOIL EXP  ,
,,'12690',NCJ CHENNAI EXP,
,,'12691',SSPN EXPRESS   ,
,,'12692',CHENNAI EXPRESS,
,,'12693',PEARL CITY EXP ,
,,'12694',PEARL CITY EXP ,
,,'12695',TRIVANDRUM EXP ,
,,'12696',TVC CHENNAI EXP,
,,'12697',TRIVANDRUM EXP ,
,,'12698',TVC CHENNAI EXP,
,,'12701',HUSAINSAGAR EXP,
,,'12702',HUSSAINSAGAR EX,
,,'12703',FALAKNUMA EXP  ,
,,'12704',FALAKNUMA EXP  ,
,,'12705',GNT SC EXP     ,
,,'12706',SC GNT EXP     ,
,,'12707',A P SMPRK KRNTI,
,,'12708',AP SMPRK KRANTI,
,,'12709',SIMHAPURI EXP  ,
,,'12710',SIMHAPURI EXP  ,
,,'12711',PINAKINI EXP   ,
,,'12712',PINAKINI EXP   ,
,,'12713',SATAVAHANA EXP ,
,,'12714',SATAVAHANA EXP ,
,,'12715',SACHKHAND EXP  ,
,,'12716',ASR NED EXPRESS,
,,'12717',RATNACHALAM EXP,
,,'12718',RATNACHAL EXP  ,
,,'12719',AII HYB SF EXP ,
,,'12720',HYB AII SUP EXP,
,,'12721',NIZAMUDDIN EXP ,
,,'12722',DAKSHIN EXPRESS,
,,'12723',A P EXP        ,
,,'12724',A P EXPRESS    ,
,,'12725',INTERCITY EXP  ,
,,'12726',INTERCITY EXP  ,
,,'12727',GODAVARI EXP   ,
,,'12728',GODAVARI EXP   ,
,,'12729',PUNE NANDED EXP,
,,'12730',PUNE EXPRESS   ,
,,'12731',TPTY SC EXP    ,
,,'12732',SC TPTY SUP EXP,
,,'12733',NARAYANADRI EXP,
,,'12734',NARAYANADRI EXP,
,,'12735',YPR GARIB RATH ,
,,'12736',SC GARIB RATH  ,
,,'12737',GOUTAMI EXP    ,
,,'12738',GOUTAMI EXP    ,
,,'12739',VSKP GARIB RATH,
,,'12740',VSKP GARIB RATH,
,,'12741',VSG PATNA EXP  ,
,,'12742',PNBE VSG EXPRES,
,,'12747',PALNADU EXP    ,
,,'12748',PALNADU EXP    ,
,,'12759',CHARMINAR EXP  ,
,,'12760',CHARMINAR EXP  ,
,,'12761',TPTY KRMR  EXP ,
,,'12762',KRMR TPTY   EXP,
,,'12763',PADMAVATHI EXP ,
,,'12764',PADMAVATI EXP  ,
,,'12765',TPTY AMI SUP EX,
,,'12766',AMI TPTY SUP EX,
,,'12767',NED  SRC SUP EX,
,,'12768',NED  WKLY  EXP ,
,,'12769',SEVEN HILLS EXP,
,,'12770',SEVEN HILLS EXP,
,,'12771',SC NGP SUP EXP ,
,,'12772',NGP SC SUP EXP ,
,,'12773',SHM SC AC  EXP ,
,,'12774',SC SHM AC  EXP ,
,,'12775',COCANADA EXP   ,
,,'12776',COCANADA EXP   ,
,,'12777',KOCHUVELI EXP  ,
,,'12778',HUBLI EXP      ,
,,'12779',GOA EXPRESS    ,
,,'12780',GOA EXPRESS    ,
,,'12781',SWARNA JAYANTHI,
,,'12782',SWARNA JAYANTHI,
,,'12783',VSKP SC AC EXP ,
,,'12784',SC  VSKP AC EXP,
,,'12785',BANGALORE EXP  ,
,,'12786',KACHEGUDA EXP  ,
,,'12791',SC PNBE EXPRESS,
,,'12792',PNBE SC EXP    ,
,,'12797',VENKATADRI EXP ,
,,'12798',VENKATADRI EXP ,
,,'12801',PURUSHOTTAM EXP,
,,'12802',PURSHOTTAM EXP ,
,,'12803',SWARNAJAYANTI E,
,,'12804',VSKP SWRN J EXP,
,,'12805',JANMABHOOMI EXP,
,,'12806',JANMABHOOMI EXP,
,,'12807',SAMTA EXPRESS  ,
,,'12808',SAMTA EXPRESS  ,
,,'12809',HOWRAH MAIL    ,
,,'12810',HWH MUMBAI MAIL,
,,'12811',HATIA EXPRESS  ,
,,'12812',HTE LTT SUPER  ,
,,'12813',STEEL EXPRESS  ,
,,'12814',STEEL EXP      ,
,,'12815',NANDAN KANAN EX,
,,'12816',NANDAN KANAN EX,
,,'12817',JHARKHAND SJ EX,
,,'12818',JHARKHAND EXPRE,
,,'12819',ORISSA S KRANTI,
,,'12820',ORISSA S KRNTI ,
,,'12821',DHAULI EXP     ,
,,'12822',DHAULI EXP     ,
,,'12823',C G SMPRK KRNTI,
,,'12824',CHTSGRH S KRNTI,
,,'12825',JHRKHND S KRANT,
,,'12826',JHRKHND S KRNTI,
,,'12827',HWH PRR EXP    ,
,,'12828',PRR HWH EXP    ,
,,'12829',BHUBANESWAR EXP,
,,'12830',BBS CHENNAI EXP,
,,'12831',BBS  GARIB RATH,
,,'12832',DHN GARIB RATH ,
,,'12833',HOWRAH EXPRESS ,
,,'12834',HWH ADI EXPRESS,
,,'12835',HTE YPR EXPRESS,
,,'12836',YPR HATIA EXP  ,
,,'12837',HWH PURI EXP   ,
,,'12838',PURI HWH EXPRES,
,,'12839',HWH MAS MAIL   ,
,,'12840',HOWRAH MAIL    ,
,,'12841',COROMANDAL EXP ,
,,'12842',COROMANDEL EXP ,
,,'12843',PURI  ADI EXP  ,
,,'12844',ADI PURI EXP   ,
,,'12845',BBS YPR SUP EXP,
,,'12846',BHUBANESHWAR EX,
,,'12847',HWH DGHA DURONT,
,,'12848',DGHA HWH DURONT,
,,'12849',BSP PUNE SUP EX,
,,'12850',PA BILASPUR EXP,
,,'12851',BSP MAS EXP    ,
,,'12852',BILASPUR EXPRES,
,,'12853',AMARKANTAK EXP ,
,,'12854',AMARKANTAK EXP ,
,,'12855',NAGPUR INTERCIT,
,,'12856',BSP INTERCITY  ,
,,'12857',TAMRALIPTA EXP ,
,,'12858',TAMRALIPTA EXP ,
,,'12859',GITANJALI EXP  ,
,,'12860',GITANJALI EXP  ,
,,'12861',LINK DAKSIN EXP,
,,'12863',HWH YPR EXPRESS,
,,'12864',YPR HOWRAH EXP ,
,,'12865',LALMATI EXPRESS,
,,'12866',LALMATI EXPRESS,
,,'12867',HWH PDY EXP    ,
,,'12868',PDY HOWRAH EXP ,
,,'12869',HOWRAH SUP EXP ,
,,'12870',HWH CSTM EXPRES,
,,'12871',ISPAT EXPRESS  ,
,,'12872',ISPAT EXPRESS  ,
,,'12873',JHARKHAND S J E,
,,'12874',JHARKHAND EXP  ,
,,'12875',NEELACHAL EXP  ,
,,'12876',NEELACHAL EXP  ,
,,'12877',RNC GARIB RATH ,
,,'12878',NDLS RNC G RATH,
,,'12879',LTT BBS SUP EXP,
,,'12880',BBS LTT SF EXP ,
,,'12881',HWH PURI G RATH,
,,'12882',PURI HWH G RATH,
,,'12883',RUPASIBANGLA EX,
,,'12884',RUPASIBANGLA EX,
,,'12885',ARANYAK EXPRESS,
,,'12886',ARANYAK EXPRESS,
,,'12887',HWH PURI EXPRES,
,,'12888',PURI HWH EXPRES,
,,'12889',TATA YPR EXP   ,
,,'12890',YPR TATA EXP   ,
,,'12891',BGY  BBS EXPRES,
,,'12892',BBS BPO EXPRESS,
,,'12893',BLGR  EXPRESS  ,
,,'12894',BBS EXPRESS    ,
,,'12895',HWH PURI EXPRES,
,,'12896',PURI HWH EXPRES,
,,'12897',PDY BBS EXPRESS,
,,'12898',BBS PDY EXPRESS,
,,'12901',GUJARAT MAIL   ,
,,'12902',GUJARAT MAIL   ,
,,'12903',GOLDENTEMPLE ML,
,,'12904',GOLDN TEMPLE ML,
,,'12905',PBR HOWRAH EXP ,
,,'12906',HWH PBR  OKHAEX,
,,'12907',BDTS SMPRK K EX,
,,'12908',MHRST SMPRK K E,
,,'12909',NZM GARIB RATH ,
,,'12910',BDTS GARIB RATH,
,,'12911',BL HARIDWAR EXP,
,,'12912',HW BL SUP EXP  ,
,,'12913',TRISHATABDI EXP,
,,'12914',TRISHATABDI EXP,
,,'12915',ASHRAM EXPRESS ,
,,'12916',ASHRAM EXPRESS ,
,,'12917',GUJARAT SMPRK K,
,,'12918',GUJRAT S KRANTI,
,,'12919',MALWA EXPRESS  ,
,,'12920',MALWA EXPRESS  ,
,,'12921',FLYING RANEE   ,
,,'12922',FLYING RANEE   ,
,,'12923',INDB NAGPUR EXP,
,,'12924',NGP INDORE EXP ,
,,'12925',PASCHIM EXPRESS,
,,'12926',PASCHIM EXPRESS,
,,'12927',VADODARA EXP   ,
,,'12928',VADODARA EXP   ,
,,'12931',ADI DOUBLE DECK,
,,'12932',BCT DOUBLEDECKE,
,,'12933',KARNAVATI EXP  ,
,,'12934',KARNAVATI EXP  ,
,,'12935',BDTS SURAT EXP ,
,,'12936',SURAT BDTS EXP ,
,,'12937',GARBHA EXPRESS ,
,,'12938',GARBHA EXPRESS ,
,,'12939',PUNE JAIPUR EXP,
,,'12940',JP PUNE SF EXP ,
,,'12941',BVC ASANSOL EXP,
,,'12942',PARASNATH EXP  ,
,,'12943',UDYOGKARMI EXP ,
,,'12944',UDHYOGKARMI EXP,
,,'12945',MAHUVA EXPRESS ,
,,'12946',SURAT EXPRESS  ,
,,'12947',AZIMABAD EXPRES,
,,'12948',AZIMABAD EXPRES,
,,'12949',KAVIGURU EXPRES,
,,'12950',PBR KAVIGURU EX,
,,'12951',MUMBAI RAJDHANI,
,,'12952',MUMBAI RAJDHANI,
,,'12953',AUG KR RAJ EXP ,
,,'12954',AG KRANTI RJDHN,
,,'12955',BCT JP EXPRESS ,
,,'12956',JP BCT SUPFAST ,
,,'12957',SWARNA J RAJ EX,
,,'12958',ADI SJ RAJDHANI,
,,'12959',DADAR BHUJ EXP ,
,,'12960',BHUJ DADAR EXP ,
,,'12961',AVANTIKA EXP   ,
,,'12962',AVANTIKA EXP   ,
,,'12963',MEWAR EXPRESS  ,
,,'12964',MEWAR EXPRESS  ,
,,'12967',JAIPUR EXP     ,
,,'12968',JP MADRAS EXPRE,
,,'12968',JP MADRAS EXP  ,
,,'12969',CBE JAIPUR EXP ,
,,'12970',JP CBE SUP EXP ,
,,'12971',BHAVNAGAR EXP  ,
,,'12972',BVC BDTS EXPRES,
,,'12973',JAIPUR EXPRESS ,
,,'12974',JP INDB EXPRESS,
,,'12975',JAIPUR EXPRESS ,
,,'12976',JP MYSORE EXP  ,
,,'12977',MARU SAGAR EXP ,
,,'12978',MARU SAGAR EXP ,
,,'12979',JAIPUR SUP FAST,
,,'12980',JP BDTS SUP EXP,
,,'12981',CHETAK EXP     ,
,,'12982',CHETAK EXP     ,
,,'12983',AII CDG G RATH ,
,,'12984',CDG AII G RATH ,
,,'12985',DEE DOUBLE DCKE,
,,'12986',JP DOUBLE DCKER,
,,'12987',SDAH AJMER EXP ,
,,'12988',AII SDAH EXPRES,
,,'12989',AJMER EXPRESS  ,
,,'12990',AII DDR  EXPRES,
,,'12991',UDZ JP EXP     ,
,,'12992',JP UDZ EXP     ,
,,'12993',GIMB PURI EXP  ,
,,'12994',PURI GIMB  EXP ,
,,'12995',BDTS AII UDZ EX,
,,'12996',UDZ BDTS SF EXP,
,,'13005',AMRITSAR MAIL  ,
,,'13006',ASR HWH MAIL   ,
,,'13007',U ABHATOOFAN EX,
,,'13008',U A TOOFAN EXP ,
,,'13009',DOON EXPRESS   ,
,,'13010',DOON EXPRESS   ,
,,'13011',HWH MLDT INT EX,
,,'13012',MLDT HWH INT EX,
,,'13017',GANADEVTA EXP  ,
,,'13018',GANADEVTA EXP  ,
,,'13019',BAGH EXPRESS   ,
,,'13020',BAGH EXPRESS   ,
,,'13021',MITHILA EXPRESS,
,,'13022',MITHILA EXPRESS,
,,'13023',HWH GAYA EXPRES,
,,'13024',GAYA HWH EXPRES,
,,'13025',HWH BPL EXPRESS,
,,'13026',BPL HOWRAH EXP ,
,,'13027',KAVI GURU EXP  ,
,,'13028',KAVI GURU EXP  ,
,,'13043',HWH RXL EXPRESS,
,,'13044',RXL HWH EXPRESS,
,,'13049',AMRITSAR EXP   ,
,,'13050',ASR HWH EXPRESS,
,,'13051',HOOL EXPRESS   ,
,,'13052',HOOL EXPRESS   ,
,,'13053',HWH SURI EXP   ,
,,'13054',SURI HWH EXP   ,
,,'13063',HWH BLGT EXP   ,
,,'13064',BLGT HWH EXPRES,
,,'13071',HWH JMP EXPRESS,
,,'13072',JMP HWH EXP    ,
,,'13103',BHAGIRATHI EXP ,
,,'13104',BHAGIRATHI EXP ,
,,'13105',SDAH BUI EXPRES,
,,'13106',BUI SDAH EXP   ,
,,'13107',MAITREE EXPRESS,
,,'13108',MAITREE EXPRESS,
,,'13109',MAITREE EXPRESS,
,,'13110',MAITREE EXPRESS,
,,'13113',HAZARDUARI EXP ,
,,'13114',HAZARDUARI EXP ,
,,'13117',KOAA LGL EXPRES,
,,'13118',LGL KOAA EXPRES,
,,'13119',SDAH  DLI EXP  ,
,,'13120',DLI  SDAH EXP  ,
,,'13131',KOAA ANVT EXP  ,
,,'13132',ANVT KOAA EXP  ,
,,'13133',SDAH BSB EXP   ,
,,'13134',BSB SDAH EXPRES,
,,'13135',KOAA JYG EXP   ,
,,'13136',JYG KOAA EXP   ,
,,'13137',KOAA AMH EXPRES,
,,'13138',AMH KOAA EXP   ,
,,'13141',TESTA TORSA EXP,
,,'13142',TESTA TORSA EXP,
,,'13145',RADHIKAPUR EXP ,
,,'13146',RADHIKAPUR EXP ,
,,'13147',UTTAR BANGA EXP,
,,'13148',UTTAR BANGA EXP,
,,'13149',KANCHANKANYA EX,
,,'13150',KANCHANKANYA EX,
,,'13151',JAMMU TAWI EXP ,
,,'13152',KOLKATA EXP    ,
,,'13153',GOUR EXPRESS   ,
,,'13154',GOUR EXP       ,
,,'13155',MITHILANCHAL EX,
,,'13156',MITHILANCHAL EX,
,,'13157',TIRHUT EXPRESS ,
,,'13158',TIRHUT EXPRESS ,
,,'13159',KOLKATA JBN EXP,
,,'13160',JBN KOLKATA EXP,
,,'13161',KOAA BLGT EXP  ,
,,'13162',BLGT KOAA EXP  ,
,,'13163',HATE BAZARE EXP,
,,'13164',HATE BAZARE EXP,
,,'13165',KOAA SMI EXPRES,
,,'13166',SMI KOAA EXP   ,
,,'13167',KOAA AGC EXPRES,
,,'13168',AGC KOAA EXP   ,
,,'13185',GANGASAGAR EXP ,
,,'13186',GANGA SAGAR EXP,
,,'13187',SDAH RPH EXP   ,
,,'13188',RPH SDAH EXP   ,
,,'13201',RJPB LTT EXP   ,
,,'13202',LTT RJPB EXP   ,
,,'13225',INTERCITY EXPRE,
,,'13226',INTERCITY EXPRE,
,,'13233',RAJGRIHA EXPRES,
,,'13234',RAJGRIHA EXPRES,
,,'13235',INTERCITY EXP  ,
,,'13236',INTERCITY EXP  ,
,,'13237',PNBE KOTA EXP  ,
,,'13238',KOTA PNBE EXP  ,
,,'13239',PNBE KOTA EXP  ,
,,'13240',KOTA PNBE EXP  ,
,,'13241',BANKA RJPB EXP ,
,,'13242',RJPB BANKA EXP ,
,,'13245',CAPITAL EXPRESS,
,,'13246',CAPITAL EXP    ,
,,'13247',DNR CAPITAL EXP,
,,'13248',KYQ CAPITAL EXP,
,,'13255',PPTA CDG EXP   ,
,,'13256',CDG  PPTA EXP  ,
,,'13281',NTSK  RJPB  EXP,
,,'13282',RJPB NTSK EXP  ,
,,'13287',SOUTH BIHAR EXP,
,,'13288',SOUTH BIHAR EXP,
,,'13301',SUBARNAREKHA EX,
,,'13302',SUBARNAREKHA EX,
,,'13307',GANGASUTLEJ EXP,
,,'13308',GANGASATLUJ EXP,
,,'13329',GANGADAMODAR EX,
,,'13330',GANGADAMODAR EX,
,,'13331',DHN PNBE EXPRES,
,,'13332',PNBE DHN EXPRES,
,,'13345',SGRL INTERCITY ,
,,'13346',BSB INTERCITY E,
,,'13347',PALAMOU EXPRESS,
,,'13348',PALAMOU EXP    ,
,,'13351',DHN ALAPPUZHA E,
,,'13352',DHANBAD EXPRESS,
,,'13401',INTERCITY   EXP,
,,'13402',INTERCITY  EXP ,
,,'13403',VANANCHAL EXP  ,
,,'13404',VANANCHAL EXP  ,
,,'13413',FARAKKA EXPRESS,
,,'13414',FARKKA EXPRESS ,
,,'13415',MLDT PNBE EXPRE,
